time,op,size
0,a,16
1,a,112
2,a,16
3,a,112
4,a,16
5,a,112
6,a,16
7,a,112
8,a,16
9,a,112
10,a,16
11,a,112
12,a,16
13,a,112
14,a,16
15,a,112
16,a,16
17,a,112
18,a,16
19,a,112
20,a,16
21,a,112
22,a,16
23,a,112
24,a,16
25,a,112
26,a,16
27,a,112
28,a,16
29,a,112
30,a,16
31,a,112
32,a,16
33,a,112
34,a,16
35,a,112
36,a,16
37,a,112
38,a,16
39,a,112
40,a,16
41,a,112
42,a,16
43,a,112
44,a,16
45,a,112
46,a,16
47,a,112
48,a,16
49,a,112
50,a,16
51,a,112
52,a,16
53,a,112
54,a,16
55,a,112
56,a,16
57,a,112
58,a,16
59,a,112
60,a,16
61,a,112
62,a,16
63,a,112
64,a,16
65,a,112
66,a,16
67,a,112
68,a,16
69,a,112
70,a,16
71,a,112
72,a,16
73,a,112
74,a,16
75,a,112
76,a,16
77,a,112
78,a,16
79,a,112
80,a,16
81,a,112
82,a,16
83,a,112
84,a,16
85,a,112
86,a,16
87,a,112
88,a,16
89,a,112
90,a,16
91,a,112
92,a,16
93,a,112
94,a,16
95,a,112
96,a,16
97,a,112
98,a,16
99,a,112
100,a,16
101,a,112
102,a,16
103,a,112
104,a,16
105,a,112
106,a,16
107,a,112
108,a,16
109,a,112
110,a,16
111,a,112
112,a,16
113,a,112
114,a,16
115,a,112
116,a,16
117,a,112
118,a,16
119,a,112
120,a,16
121,a,112
122,a,16
123,a,112
124,a,16
125,a,112
126,a,16
127,a,112
128,a,16
129,a,112
130,a,16
131,a,112
132,a,16
133,a,112
134,a,16
135,a,112
136,a,16
137,a,112
138,a,16
139,a,112
140,a,16
141,a,112
142,a,16
143,a,112
144,a,16
145,a,112
146,a,16
147,a,112
148,a,16
149,a,112
150,a,16
151,a,112
152,a,16
153,a,112
154,a,16
155,a,112
156,a,16
157,a,112
158,a,16
159,a,112
160,a,16
161,a,112
162,a,16
163,a,112
164,a,16
165,a,112
166,a,16
167,a,112
168,a,16
169,a,112
170,a,16
171,a,112
172,a,16
173,a,112
174,a,16
175,a,112
176,a,16
177,a,112
178,a,16
179,a,112
180,a,16
181,a,112
182,a,16
183,a,112
184,a,16
185,a,112
186,a,16
187,a,112
188,a,16
189,a,112
190,a,16
191,a,112
192,a,16
193,a,112
194,a,16
195,a,112
196,a,16
197,a,112
198,a,16
199,a,112
200,a,16
201,a,112
202,a,16
203,a,112
204,a,16
205,a,112
206,a,16
207,a,112
208,a,16
209,a,112
210,a,16
211,a,112
212,a,16
213,a,112
214,a,16
215,a,112
216,a,16
217,a,112
218,a,16
219,a,112
220,a,16
221,a,112
222,a,16
223,a,112
224,a,16
225,a,112
226,a,16
227,a,112
228,a,16
229,a,112
230,a,16
231,a,112
232,a,16
233,a,112
234,a,16
235,a,112
236,a,16
237,a,112
238,a,16
239,a,112
240,a,16
241,a,112
242,a,16
243,a,112
244,a,16
245,a,112
246,a,16
247,a,112
248,a,16
249,a,112
250,a,16
251,a,112
252,a,16
253,a,112
254,a,16
255,a,112
256,a,16
257,a,112
258,a,16
259,a,112
260,a,16
261,a,112
262,a,16
263,a,112
264,a,16
265,a,112
266,a,16
267,a,112
268,a,16
269,a,112
270,a,16
271,a,112
272,a,16
273,a,112
274,a,16
275,a,112
276,a,16
277,a,112
278,a,16
279,a,112
280,a,16
281,a,112
282,a,16
283,a,112
284,a,16
285,a,112
286,a,16
287,a,112
288,a,16
289,a,112
290,a,16
291,a,112
292,a,16
293,a,112
294,a,16
295,a,112
296,a,16
297,a,112
298,a,16
299,a,112
300,a,16
301,a,112
302,a,16
303,a,112
304,a,16
305,a,112
306,a,16
307,a,112
308,a,16
309,a,112
310,a,16
311,a,112
312,a,16
313,a,112
314,a,16
315,a,112
316,a,16
317,a,112
318,a,16
319,a,112
320,a,16
321,a,112
322,a,16
323,a,112
324,a,16
325,a,112
326,a,16
327,a,112
328,a,16
329,a,112
330,a,16
331,a,112
332,a,16
333,a,112
334,a,16
335,a,112
336,a,16
337,a,112
338,a,16
339,a,112
340,a,16
341,a,112
342,a,16
343,a,112
344,a,16
345,a,112
346,a,16
347,a,112
348,a,16
349,a,112
350,a,16
351,a,112
352,a,16
353,a,112
354,a,16
355,a,112
356,a,16
357,a,112
358,a,16
359,a,112
360,a,16
361,a,112
362,a,16
363,a,112
364,a,16
365,a,112
366,a,16
367,a,112
368,a,16
369,a,112
370,a,16
371,a,112
372,a,16
373,a,112
374,a,16
375,a,112
376,a,16
377,a,112
378,a,16
379,a,112
380,a,16
381,a,112
382,a,16
383,a,112
384,a,16
385,a,112
386,a,16
387,a,112
388,a,16
389,a,112
390,a,16
391,a,112
392,a,16
393,a,112
394,a,16
395,a,112
396,a,16
397,a,112
398,a,16
399,a,112
400,a,16
401,a,112
402,a,16
403,a,112
404,a,16
405,a,112
406,a,16
407,a,112
408,a,16
409,a,112
410,a,16
411,a,112
412,a,16
413,a,112
414,a,16
415,a,112
416,a,16
417,a,112
418,a,16
419,a,112
420,a,16
421,a,112
422,a,16
423,a,112
424,a,16
425,a,112
426,a,16
427,a,112
428,a,16
429,a,112
430,a,16
431,a,112
432,a,16
433,a,112
434,a,16
435,a,112
436,a,16
437,a,112
438,a,16
439,a,112
440,a,16
441,a,112
442,a,16
443,a,112
444,a,16
445,a,112
446,a,16
447,a,112
448,a,16
449,a,112
450,a,16
451,a,112
452,a,16
453,a,112
454,a,16
455,a,112
456,a,16
457,a,112
458,a,16
459,a,112
460,a,16
461,a,112
462,a,16
463,a,112
464,a,16
465,a,112
466,a,16
467,a,112
468,a,16
469,a,112
470,a,16
471,a,112
472,a,16
473,a,112
474,a,16
475,a,112
476,a,16
477,a,112
478,a,16
479,a,112
480,a,16
481,a,112
482,a,16
483,a,112
484,a,16
485,a,112
486,a,16
487,a,112
488,a,16
489,a,112
490,a,16
491,a,112
492,a,16
493,a,112
494,a,16
495,a,112
496,a,16
497,a,112
498,a,16
499,a,112
500,a,16
501,a,112
502,a,16
503,a,112
504,a,16
505,a,112
506,a,16
507,a,112
508,a,16
509,a,112
510,a,16
511,a,112
512,a,16
513,a,112
514,a,16
515,a,112
516,a,16
517,a,112
518,a,16
519,a,112
520,a,16
521,a,112
522,a,16
523,a,112
524,a,16
525,a,112
526,a,16
527,a,112
528,a,16
529,a,112
530,a,16
531,a,112
532,a,16
533,a,112
534,a,16
535,a,112
536,a,16
537,a,112
538,a,16
539,a,112
540,a,16
541,a,112
542,a,16
543,a,112
544,a,16
545,a,112
546,a,16
547,a,112
548,a,16
549,a,112
550,a,16
551,a,112
552,a,16
553,a,112
554,a,16
555,a,112
556,a,16
557,a,112
558,a,16
559,a,112
560,a,16
561,a,112
562,a,16
563,a,112
564,a,16
565,a,112
566,a,16
567,a,112
568,a,16
569,a,112
570,a,16
571,a,112
572,a,16
573,a,112
574,a,16
575,a,112
576,a,16
577,a,112
578,a,16
579,a,112
580,a,16
581,a,112
582,a,16
583,a,112
584,a,16
585,a,112
586,a,16
587,a,112
588,a,16
589,a,112
590,a,16
591,a,112
592,a,16
593,a,112
594,a,16
595,a,112
596,a,16
597,a,112
598,a,16
599,a,112
600,a,16
601,a,112
602,a,16
603,a,112
604,a,16
605,a,112
606,a,16
607,a,112
608,a,16
609,a,112
610,a,16
611,a,112
612,a,16
613,a,112
614,a,16
615,a,112
616,a,16
617,a,112
618,a,16
619,a,112
620,a,16
621,a,112
622,a,16
623,a,112
624,a,16
625,a,112
626,a,16
627,a,112
628,a,16
629,a,112
630,a,16
631,a,112
632,a,16
633,a,112
634,a,16
635,a,112
636,a,16
637,a,112
638,a,16
639,a,112
640,a,16
641,a,112
642,a,16
643,a,112
644,a,16
645,a,112
646,a,16
647,a,112
648,a,16
649,a,112
650,a,16
651,a,112
652,a,16
653,a,112
654,a,16
655,a,112
656,a,16
657,a,112
658,a,16
659,a,112
660,a,16
661,a,112
662,a,16
663,a,112
664,a,16
665,a,112
666,a,16
667,a,112
668,a,16
669,a,112
670,a,16
671,a,112
672,a,16
673,a,112
674,a,16
675,a,112
676,a,16
677,a,112
678,a,16
679,a,112
680,a,16
681,a,112
682,a,16
683,a,112
684,a,16
685,a,112
686,a,16
687,a,112
688,a,16
689,a,112
690,a,16
691,a,112
692,a,16
693,a,112
694,a,16
695,a,112
696,a,16
697,a,112
698,a,16
699,a,112
700,a,16
701,a,112
702,a,16
703,a,112
704,a,16
705,a,112
706,a,16
707,a,112
708,a,16
709,a,112
710,a,16
711,a,112
712,a,16
713,a,112
714,a,16
715,a,112
716,a,16
