time,op,size
0,a,2040
1,a,2040
2,a,48
3,a,4072
4,a,4072
5,a,4072
6,a,4072
7,a,4072
8,a,4072
9,a,1008
10,a,504
11,a,1008
12,a,42
13,a,4072
14,a,72
15,a,4072
16,a,4072
17,a,4072
18,a,4072
19,a,4072
20,a,4072
21,a,4072
22,a,4072
23,a,4072
24,a,40
25,a,40
26,a,40
27,a,40
28,a,40
29,a,40
30,a,40
31,a,40
32,a,40
33,a,4072
34,a,456
35,a,456
36,a,456
37,a,456
38,a,456
39,a,456
40,a,456
41,a,456
42,a,456
43,a,456
44,a,456
45,a,456
46,a,456
47,a,456
48,a,456
49,a,456
50,a,456
51,a,456
52,a,456
53,a,456
54,a,456
55,a,456
56,a,456
57,a,456
58,a,456
59,a,456
60,a,456
61,a,456
62,a,456
63,a,456
64,a,456
65,a,456
66,a,456
67,a,456
68,a,456
69,a,456
70,a,456
71,a,456
72,a,456
73,a,456
74,a,9
75,a,10
76,a,9
77,a,9
78,a,4072
79,a,9
80,a,9
81,a,9
82,a,9
83,a,9
84,a,10
85,a,9
86,a,9
87,a,9
88,a,9
89,a,9
90,a,9
91,a,9
92,a,10
93,a,9
94,a,9
95,a,9
96,a,9
97,a,9
98,a,9
99,a,9
100,a,10
101,a,9
102,a,9
103,a,10
104,a,11
105,a,10
106,a,10
107,a,12
108,a,13
109,a,12
110,a,12
111,a,13
112,a,14
113,a,13
114,a,13
115,a,9
116,a,10
117,a,9
118,a,9
119,a,10
120,a,11
121,a,10
122,a,10
123,a,9
124,a,9
125,a,9
126,a,9
127,a,12
128,a,12
129,a,12
130,a,12
131,a,9
132,a,10
133,a,9
134,a,9
135,a,9
136,a,10
137,a,9
138,a,9
139,a,9
140,a,10
141,a,9
142,a,9
143,a,10
144,a,11
145,a,10
146,a,10
147,a,10
148,a,11
149,a,10
150,a,10
151,a,10
152,a,11
153,a,10
154,a,10
155,a,9
156,a,10
157,a,9
158,a,9
159,a,9
160,a,9
161,a,9
162,a,9
163,a,9
164,a,10
165,a,9
166,a,9
167,a,9
168,a,9
169,a,9
170,a,9
171,a,10
172,a,11
173,a,10
174,a,10
175,a,10
176,a,11
177,a,10
178,a,10
179,a,9
180,a,10
181,a,9
182,a,9
183,a,9
184,a,9
185,a,9
186,a,9
187,a,14
188,a,15
189,a,14
190,a,14
191,a,9
192,a,10
193,a,9
194,a,9
195,a,9
196,a,10
197,a,9
198,a,9
199,a,10
200,a,11
201,a,10
202,a,10
203,a,9
204,a,9
205,a,9
206,a,9
207,a,4072
208,a,4072
209,f,4072
210,a,4072
211,a,4072
212,a,4072
213,a,4072
214,a,4072
215,a,4072
216,a,4072
217,a,4072
218,a,4072
219,a,12
220,a,7
221,a,48
222,a,24
223,a,8208
224,a,8208
225,a,80
226,a,4072
227,a,4072
228,a,72
229,a,4072
230,a,4072
231,a,4072
232,a,4072
233,a,4072
234,a,4072
235,a,4072
236,a,4072
237,a,4072
238,a,4072
239,a,4072
240,a,4072
241,a,4072
242,a,4072
243,a,4072
244,a,4072
245,a,4072
246,a,4072
247,a,4072
248,a,4072
249,a,4072
250,a,4072
251,a,4072
252,a,4072
253,a,4072
254,a,4072
255,a,4072
256,a,4072
257,a,4072
258,a,4072
259,a,4072
260,a,4072
261,a,4072
262,a,4072
263,a,4072
264,a,4072
265,a,4072
266,a,4072
267,a,4072
268,a,4072
269,a,4072
270,a,4072
271,a,4072
272,a,4072
273,a,4072
274,a,4072
275,a,4072
276,a,4072
277,a,4072
278,a,4072
279,a,4072
280,a,4072
281,a,4072
282,a,4072
283,a,4072
284,a,4072
285,a,4072
286,a,4072
287,a,4072
288,a,4072
289,a,4072
290,a,4072
291,a,4072
292,a,4072
293,a,4072
294,a,4072
295,a,4072
296,a,4072
297,a,4072
298,a,4072
299,a,4072
300,a,4072
301,a,4072
302,a,4072
303,a,4072
304,a,4072
305,a,4072
306,a,4072
307,a,4072
308,a,4072
309,a,4072
310,a,4072
311,a,4072
312,a,4072
313,a,4072
314,a,4072
315,a,4072
316,a,4072
317,a,4072
318,a,4072
319,a,4072
320,a,4072
321,a,4072
322,a,4072
323,a,72
324,a,160
325,f,72
326,a,72
327,a,160
328,f,72
329,a,4072
330,a,72
331,a,160
332,f,72
333,a,72
334,a,160
335,f,72
336,a,72
337,a,160
338,f,72
339,a,72
340,a,160
341,f,72
342,a,4072
