time,op,size
0,a,4095
1,a,4095
2,f,4095
3,f,4095
4,a,8190
5,f,8190
6,a,4095
7,a,4095
8,f,4095
9,f,4095
10,a,8190
11,f,8190
12,a,4095
13,a,4095
14,f,4095
15,f,4095
16,a,8190
17,f,8190
18,a,4095
19,a,4095
20,f,4095
21,f,4095
22,a,8190
23,f,8190
24,a,4095
25,a,4095
26,f,4095
27,f,4095
28,a,8190
29,f,8190
30,a,4095
31,a,4095
32,f,4095
33,f,4095
34,a,8190
35,f,8190
36,a,4095
37,a,4095
38,f,4095
39,f,4095
40,a,8190
41,f,8190
42,a,4095
43,a,4095
44,f,4095
45,f,4095
46,a,8190
47,f,8190
48,a,4095
49,a,4095
50,f,4095
51,f,4095
52,a,8190
53,f,8190
54,a,4095
55,a,4095
56,f,4095
57,f,4095
58,a,8190
59,f,8190
60,a,4095
61,a,4095
62,f,4095
63,f,4095
64,a,8190
65,f,8190
66,a,4095
67,a,4095
68,f,4095
69,f,4095
70,a,8190
71,f,8190
72,a,4095
73,a,4095
74,f,4095
75,f,4095
76,a,8190
77,f,8190
78,a,4095
79,a,4095
80,f,4095
81,f,4095
82,a,8190
83,f,8190
84,a,4095
85,a,4095
86,f,4095
87,f,4095
88,a,8190
89,f,8190
90,a,4095
91,a,4095
92,f,4095
93,f,4095
94,a,8190
95,f,8190
96,a,4095
97,a,4095
98,f,4095
99,f,4095
100,a,8190
101,f,8190
102,a,4095
103,a,4095
104,f,4095
105,f,4095
106,a,8190
107,f,8190
108,a,4095
109,a,4095
110,f,4095
111,f,4095
112,a,8190
113,f,8190
114,a,4095
115,a,4095
116,f,4095
117,f,4095
118,a,8190
119,f,8190
120,a,4095
121,a,4095
122,f,4095
123,f,4095
124,a,8190
125,f,8190
126,a,4095
127,a,4095
128,f,4095
129,f,4095
130,a,8190
131,f,8190
132,a,4095
133,a,4095
134,f,4095
135,f,4095
136,a,8190
137,f,8190
138,a,4095
139,a,4095
140,f,4095
141,f,4095
142,a,8190
143,f,8190
144,a,4095
145,a,4095
146,f,4095
147,f,4095
148,a,8190
149,f,8190
150,a,4095
151,a,4095
152,f,4095
153,f,4095
154,a,8190
155,f,8190
156,a,4095
157,a,4095
158,f,4095
159,f,4095
160,a,8190
161,f,8190
162,a,4095
163,a,4095
164,f,4095
165,f,4095
166,a,8190
167,f,8190
168,a,4095
169,a,4095
170,f,4095
171,f,4095
172,a,8190
173,f,8190
174,a,4095
175,a,4095
176,f,4095
177,f,4095
178,a,8190
179,f,8190
180,a,4095
181,a,4095
182,f,4095
183,f,4095
184,a,8190
185,f,8190
186,a,4095
187,a,4095
188,f,4095
189,f,4095
190,a,8190
191,f,8190
192,a,4095
193,a,4095
194,f,4095
195,f,4095
196,a,8190
197,f,8190
198,a,4095
199,a,4095
200,f,4095
201,f,4095
202,a,8190
203,f,8190
204,a,4095
205,a,4095
206,f,4095
207,f,4095
208,a,8190
209,f,8190
210,a,4095
211,a,4095
212,f,4095
213,f,4095
214,a,8190
215,f,8190
216,a,4095
217,a,4095
218,f,4095
219,f,4095
220,a,8190
221,f,8190
222,a,4095
223,a,4095
224,f,4095
225,f,4095
226,a,8190
227,f,8190
228,a,4095
229,a,4095
230,f,4095
231,f,4095
232,a,8190
233,f,8190
234,a,4095
235,a,4095
236,f,4095
237,f,4095
238,a,8190
239,f,8190
240,a,4095
241,a,4095
242,f,4095
243,f,4095
244,a,8190
245,f,8190
246,a,4095
247,a,4095
248,f,4095
249,f,4095
250,a,8190
251,f,8190
252,a,4095
253,a,4095
254,f,4095
255,f,4095
256,a,8190
257,f,8190
258,a,4095
259,a,4095
260,f,4095
261,f,4095
262,a,8190
263,f,8190
264,a,4095
265,a,4095
266,f,4095
267,f,4095
268,a,8190
269,f,8190
270,a,4095
271,a,4095
272,f,4095
273,f,4095
274,a,8190
275,f,8190
276,a,4095
277,a,4095
278,f,4095
279,f,4095
280,a,8190
281,f,8190
282,a,4095
283,a,4095
284,f,4095
285,f,4095
286,a,8190
287,f,8190
288,a,4095
289,a,4095
290,f,4095
291,f,4095
292,a,8190
293,f,8190
294,a,4095
295,a,4095
296,f,4095
297,f,4095
298,a,8190
299,f,8190
300,a,4095
301,a,4095
302,f,4095
303,f,4095
304,a,8190
305,f,8190
306,a,4095
307,a,4095
308,f,4095
309,f,4095
310,a,8190
311,f,8190
312,a,4095
313,a,4095
314,f,4095
315,f,4095
316,a,8190
317,f,8190
318,a,4095
319,a,4095
320,f,4095
321,f,4095
322,a,8190
323,f,8190
324,a,4095
325,a,4095
326,f,4095
327,f,4095
328,a,8190
329,f,8190
330,a,4095
331,a,4095
332,f,4095
333,f,4095
334,a,8190
335,f,8190
336,a,4095
337,a,4095
338,f,4095
339,f,4095
340,a,8190
341,f,8190
342,a,4095
343,a,4095
344,f,4095
345,f,4095
346,a,8190
347,f,8190
348,a,4095
349,a,4095
350,f,4095
351,f,4095
352,a,8190
353,f,8190
354,a,4095
355,a,4095
356,f,4095
357,f,4095
358,a,8190
359,f,8190
360,a,4095
361,a,4095
362,f,4095
363,f,4095
364,a,8190
365,f,8190
366,a,4095
367,a,4095
368,f,4095
369,f,4095
370,a,8190
371,f,8190
372,a,4095
373,a,4095
374,f,4095
375,f,4095
376,a,8190
377,f,8190
378,a,4095
379,a,4095
380,f,4095
381,f,4095
382,a,8190
383,f,8190
384,a,4095
385,a,4095
386,f,4095
387,f,4095
388,a,8190
389,f,8190
390,a,4095
391,a,4095
392,f,4095
393,f,4095
394,a,8190
395,f,8190
396,a,4095
397,a,4095
398,f,4095
399,f,4095
400,a,8190
401,f,8190
402,a,4095
403,a,4095
404,f,4095
405,f,4095
406,a,8190
407,f,8190
408,a,4095
409,a,4095
410,f,4095
411,f,4095
412,a,8190
413,f,8190
414,a,4095
415,a,4095
416,f,4095
417,f,4095
418,a,8190
419,f,8190
420,a,4095
421,a,4095
422,f,4095
423,f,4095
424,a,8190
425,f,8190
426,a,4095
427,a,4095
428,f,4095
429,f,4095
430,a,8190
431,f,8190
432,a,4095
433,a,4095
434,f,4095
435,f,4095
436,a,8190
437,f,8190
438,a,4095
439,a,4095
440,f,4095
441,f,4095
442,a,8190
443,f,8190
444,a,4095
445,a,4095
446,f,4095
447,f,4095
448,a,8190
449,f,8190
450,a,4095
451,a,4095
452,f,4095
453,f,4095
454,a,8190
455,f,8190
456,a,4095
457,a,4095
458,f,4095
459,f,4095
460,a,8190
461,f,8190
462,a,4095
463,a,4095
464,f,4095
465,f,4095
466,a,8190
467,f,8190
468,a,4095
469,a,4095
470,f,4095
471,f,4095
472,a,8190
473,f,8190
474,a,4095
475,a,4095
476,f,4095
477,f,4095
478,a,8190
479,f,8190
480,a,4095
481,a,4095
482,f,4095
483,f,4095
484,a,8190
485,f,8190
486,a,4095
487,a,4095
488,f,4095
489,f,4095
490,a,8190
491,f,8190
492,a,4095
493,a,4095
494,f,4095
495,f,4095
496,a,8190
497,f,8190
498,a,4095
499,a,4095
500,f,4095
501,f,4095
502,a,8190
503,f,8190
504,a,4095
505,a,4095
506,f,4095
507,f,4095
508,a,8190
509,f,8190
510,a,4095
511,a,4095
512,f,4095
513,f,4095
514,a,8190
515,f,8190
516,a,4095
517,a,4095
518,f,4095
