time,op,size
0,a,559
1,a,1822
2,a,19065
3,a,14824
4,a,9828
5,a,10894
6,a,1573
7,a,12656
8,a,21907
9,a,1953
10,a,9232
11,a,6880
12,a,14266
13,a,4017
14,a,21574
15,a,28415
16,a,28168
17,a,28421
18,a,66
19,a,6251
20,f,21907
21,a,14521
22,a,8016
23,a,14377
24,a,26183
25,a,30806
26,a,30172
27,a,13564
28,a,15828
29,a,18725
30,a,27795
31,a,2220
32,a,19284
33,a,29617
34,a,21286
35,a,1340
36,a,6678
37,a,32181
38,a,2913
39,a,19335
40,a,21320
41,a,4867
42,a,28567
43,a,28200
44,a,19133
45,a,32585
46,a,17006
47,a,14781
48,a,27985
49,a,12660
50,a,14847
51,a,1469
52,a,27181
53,a,22864
54,a,15846
55,a,20596
56,a,20903
57,a,13250
58,a,1393
59,a,3963
60,a,31976
61,a,29188
62,a,6184
63,a,18492
64,a,26037
65,a,27470
66,a,19833
67,a,32716
68,a,26883
69,a,22746
70,a,19283
71,a,15435
72,a,27614
73,a,15083
74,a,10868
75,a,13979
76,a,14900
77,a,27875
78,a,28760
79,a,10117
80,a,7767
81,a,10840
82,f,10117
83,a,11586
84,a,2180
85,a,937
86,a,27433
87,a,22777
88,a,21840
89,a,7916
90,a,24170
91,a,25804
92,a,7124
93,a,20591
94,a,31988
95,a,25616
96,a,13861
97,a,26690
98,a,12681
99,a,13809
100,a,20806
101,a,2660
102,a,324
103,a,3474
104,a,30275
105,a,15407
106,a,14342
107,a,11487
108,a,30308
109,a,9449
110,a,7480
111,a,7657
112,a,17216
113,a,18321
114,a,19244
115,a,19397
116,a,19258
117,a,13910
118,a,9406
119,f,1340
120,a,8331
121,a,21826
122,a,809
123,a,1367
124,a,28950
125,a,21400
126,a,588
127,a,21799
128,a,2493
129,a,27279
130,a,1713
131,a,16303
132,a,15317
133,a,4373
134,a,16628
135,a,18791
136,a,1881
137,a,32036
138,a,366
139,a,13368
140,a,29576
141,a,9815
142,a,20848
143,a,4466
144,a,27032
145,a,6401
146,a,23710
147,a,13661
148,a,25660
149,a,4853
150,a,23068
151,a,1223
152,a,26679
153,a,23878
154,a,2591
155,f,21840
156,a,22861
157,a,12511
158,a,3179
159,a,11893
160,a,15005
161,a,30459
162,a,13606
163,a,31308
164,a,13008
165,a,17980
166,a,15168
167,a,31800
168,a,19861
169,a,14436
170,a,32167
171,a,461
172,a,11245
173,a,9215
174,a,21309
175,a,15711
176,a,3479
177,a,27711
178,a,6654
179,a,17141
180,a,20603
181,a,11507
182,a,7442
183,a,21826
184,a,5418
185,a,31320
186,a,24418
187,a,28280
188,a,11063
189,a,27597
190,a,7405
191,a,26068
192,a,25288
193,a,21011
194,a,24609
195,a,5529
196,a,6223
197,a,7009
198,a,4562
199,a,26085
200,f,1713
201,a,21446
202,f,9828
203,a,3961
204,a,26546
205,a,32691
206,a,13176
207,a,15088
208,f,13606
209,f,3474
210,a,15635
211,a,16656
212,a,10031
213,a,22289
214,a,1029
215,a,30634
216,a,1029
217,a,8471
218,a,19693
219,a,6448
220,a,7023
221,a,11343
222,a,1960
223,f,14377
224,a,18087
225,a,6173
226,a,9366
227,a,11387
228,f,19335
229,a,31462
230,a,30378
231,a,3229
232,a,4223
233,a,3834
234,f,7405
235,a,10238
236,a,8786
237,a,29919
238,a,31685
239,f,4223
240,a,12747
241,f,27181
242,a,23698
243,a,31609
244,a,25924
245,a,6018
246,a,14476
247,f,13176
248,a,9812
249,a,16049
250,a,3998
251,a,10842
252,a,13916
253,a,5027
254,a,19313
255,a,841
256,a,11475
257,a,26337
258,f,28280
259,a,12185
260,f,18321
261,a,13436
262,a,11657
263,a,18358
264,f,27614
265,a,22802
266,a,23045
267,a,17052
268,a,20413
269,a,26274
270,f,7916
271,a,21276
272,a,24248
273,a,3745
274,a,30063
275,a,21399
276,a,2662
277,f,31685
278,a,10043
279,a,12330
280,a,1503
281,a,3199
282,f,22289
283,a,18348
284,a,15980
285,a,13012
286,a,1630
287,f,21011
288,f,3745
289,a,19978
290,f,26085
291,a,23855
292,a,15546
293,a,25005
294,a,10401
295,a,16388
296,a,3712
297,a,3970
298,a,28574
299,a,17149
300,a,15628
301,a,14164
302,a,7184
303,f,19313
304,a,5905
305,a,31217
306,a,27597
307,a,32180
308,a,19726
309,a,19077
310,a,3157
311,f,15088
312,a,17021
313,a,7709
314,a,5819
315,a,27064
316,a,20039
317,a,7323
318,a,30264
319,a,5620
320,a,23303
321,a,10509
322,a,7250
323,a,10513
324,a,1596
325,a,22796
326,a,2751
327,a,11997
328,a,6417
329,f,2662
330,a,6464
331,f,809
332,a,15968
333,a,2223
334,a,23613
335,a,31596
336,a,16388
337,f,10840
338,a,30797
339,a,4734
340,f,19397
341,a,14838
342,a,25627
343,a,4146
344,a,1796
345,f,11475
346,a,11937
347,a,7304
348,a,18818
349,f,9815
350,a,19646
351,a,13123
352,a,13115
353,a,6918
354,a,20447
355,a,10612
356,a,12538
357,a,10983
358,f,6448
359,a,21121
360,a,19789
361,a,21497
362,a,22718
363,a,9817
364,a,24248
365,a,1947
366,a,16235
367,a,30713
368,a,17916
369,a,18458
370,a,21558
371,a,16745
372,a,2078
373,a,19588
374,a,21479
375,f,2223
376,a,16916
377,a,12447
378,f,7250
379,a,25626
380,a,18713
381,a,24384
382,a,162
383,f,13008
384,a,4763
385,a,11263
386,a,13286
387,a,17879
388,a,18181
389,f,588
390,f,20447
391,a,966
392,a,28491
393,a,30720
394,a,11949
395,a,16845
396,f,27470
397,a,17742
398,a,678
399,a,6795
400,a,27560
401,a,24927
402,a,8742
403,a,11027
404,f,15968
405,a,22872
406,a,26659
407,a,29485
408,a,11662
409,a,10636
410,a,31564
411,a,31250
412,a,32116
413,a,15712
414,a,10929
415,a,24974
416,a,1657
417,a,2546
418,a,25137
419,a,6421
420,a,13809
421,a,5656
422,a,24300
423,f,25137
424,a,31991
425,f,7323
426,f,23613
427,a,6622
428,a,20024
429,a,29944
430,a,18571
431,a,4101
432,a,14918
433,a,19250
434,a,10896
435,f,1960
436,a,9710
437,f,19284
438,a,11409
439,a,19639
440,a,20737
441,a,1513
442,a,13530
443,a,17455
444,a,13176
445,a,24166
446,a,16251
447,a,11659
448,a,23514
449,a,31963
450,a,22589
451,f,32180
452,a,15721
453,a,853
454,a,25135
455,a,8091
456,a,7275
457,a,6176
458,f,23514
459,a,13747
460,a,31576
461,a,5400
462,a,20369
463,a,18832
464,a,2576
465,a,6173
466,a,22934
467,a,17495
468,f,21479
469,f,10868
470,f,3157
471,a,25423
472,a,1063
473,a,27205
474,f,18087
475,a,4064
476,a,20702
477,a,15175
478,a,5578
479,a,1465
480,a,32630
481,a,18754
482,a,25632
483,a,16113
484,a,30413
485,a,16379
486,a,15309
487,f,9366
488,a,20234
489,a,32101
490,a,16163
491,f,23068
492,a,12601
493,a,7424
494,a,23439
495,f,26037
496,f,8471
497,a,18778
498,a,21171
499,a,22247
500,a,24179
501,f,13115
502,a,8772
503,a,8312
504,a,26755
505,a,14945
506,a,31246
507,a,11483
508,a,7600
509,f,15407
510,f,1596
511,a,32309
512,a,5920
513,a,11665
514,a,20244
515,a,21096
516,f,20848
517,a,17243
518,a,21709
519,a,20958
520,a,3230
521,a,14574
522,a,4304
523,f,25423
524,a,875
525,a,30953
526,a,19614
527,f,9449
528,a,21110
529,f,5819
530,a,30286
531,a,3010
532,a,944
533,a,4942
534,a,26449
535,a,19722
536,a,26113
537,a,15929
538,a,11134
539,a,2118
540,a,24241
541,a,5121
542,a,17063
543,a,22719
544,f,16113
545,a,16605
546,a,24664
547,a,22261
548,a,22525
549,a,3562
550,a,9737
551,a,10854
552,a,20805
553,a,31447
554,a,31813
555,a,24036
556,f,22861
557,a,13253
558,a,3349
559,a,24911
560,a,11438
561,a,22964
562,a,13254
563,f,1947
564,a,8957
565,a,25975
566,f,13436
567,f,15929
568,a,14198
569,a,13899
570,a,19656
571,f,13250
572,a,1153
573,a,7245
574,a,2817
575,a,12287
576,a,9363
577,a,27059
578,f,15005
579,a,17409
580,a,26427
581,a,17011
582,f,11507
583,a,1246
584,a,18323
585,a,6504
586,a,23772
587,a,21885
588,f,2220
589,f,30378
590,a,16242
591,a,1858
592,a,9923
593,a,14921
594,a,903
595,f,30172
596,a,1191
597,f,21497
598,a,28175
599,f,16916
600,f,26659
601,a,4253
602,a,26103
603,a,6846
604,a,27218
605,a,6590
606,a,15803
607,a,20425
608,f,27597
609,a,20788
610,a,29703
611,a,7314
612,a,21942
613,f,12681
614,a,4180
615,a,10132
616,a,1461
617,a,13544
618,a,4423
619,f,3230
620,a,18871
621,a,7203
622,f,31988
623,a,21434
624,f,14342
625,f,13368
626,a,20117
627,a,25527
628,f,17455
629,a,27938
630,a,11122
631,f,30634
632,a,14645
633,f,26755
634,a,11413
635,a,12980
636,a,24569
637,a,26334
638,f,22864
639,a,13884
640,a,25761
641,f,17916
642,f,15628
643,a,21742
644,a,18138
645,a,19097
646,f,9363
647,a,28588
648,f,18348
649,a,12588
650,a,25687
651,a,11623
652,a,245
653,f,19065
654,a,13708
655,f,14918
656,a,8559
657,a,7560
658,a,2882
659,a,12740
660,f,18138
661,a,17692
662,a,4344
663,a,26284
664,a,22115
665,a,23215
666,a,720
667,a,10781
668,a,10565
669,a,26248
670,f,7245
671,a,5952
672,a,21687
673,a,8125
674,a,17365
675,a,1900
676,a,32695
677,f,1063
678,a,10932
679,a,15784
680,f,24418
681,a,25688
682,f,8772
683,a,32674
684,a,1155
685,a,12017
686,a,28494
687,f,6401
688,a,13743
689,a,4936
690,f,6654
691,f,1029
692,a,7350
693,a,13989
694,f,10781
695,a,18644
696,f,19097
697,f,9812
698,a,15910
699,a,21549
700,a,21527
701,a,28650
702,a,6473
703,a,25871
704,a,22167
705,a,28589
706,a,16318
707,a,22887
708,f,20234
709,a,6602
710,a,26884
711,a,16368
712,f,16235
713,a,12555
714,a,15803
715,a,24493
716,a,29921
717,a,17704
718,a,24420
719,a,8085
720,a,720
721,f,13176
722,a,17341
723,a,7992
724,a,1875
725,f,21096
726,a,29358
727,a,3719
728,f,23878
729,f,3961
730,f,22887
731,f,31246
732,a,15619
733,a,1527
734,a,11070
735,a,29608
736,a,20172
737,a,26980
738,a,18390
739,a,8931
740,a,22862
741,a,24864
742,a,2034
743,f,27985
744,a,12262
745,f,14266
746,a,20685
747,f,14574
748,a,18353
749,a,2382
750,a,27288
751,a,12469
752,f,31596
753,f,24384
754,a,18750
755,a,7076
756,a,28272
757,a,10475
758,a,4229
759,f,15083
760,f,18750
761,a,13208
762,a,2128
763,f,7275
764,f,18458
765,a,12314
766,a,13929
767,a,19469
768,f,30720
769,a,20307
770,a,15805
771,f,18871
772,a,16060
773,f,7992
774,a,24026
775,a,31425
776,a,17587
777,a,2328
778,a,28265
779,a,4991
780,a,29308
781,a,13888
782,f,11662
783,a,13922
784,a,19403
785,a,5984
786,a,15956
787,a,31666
788,a,26670
789,a,1542
790,a,1280
791,a,21191
792,a,14011
793,f,5578
794,f,11409
795,a,20030
796,a,28267
797,a,9515
798,a,30506
799,a,32497
800,a,22724
801,a,32634
802,a,12043
803,f,11623
804,a,3886
805,f,30063
806,a,19336
807,a,32350
808,a,19692
809,a,2628
810,f,25627
811,a,23609
812,a,18349
813,f,29358
814,a,20215
815,f,25632
816,f,26670
817,a,25937
818,a,13847
819,a,25207
820,a,22478
821,a,27735
822,a,6361
823,a,9113
824,a,952
825,a,22318
826,f,28589
827,f,15956
828,a,8011
829,a,27623
830,f,32634
831,f,16379
832,a,23860
833,f,1280
834,a,9292
835,a,16046
836,a,5103
837,f,23609
838,a,29322
839,a,11546
840,a,14619
841,f,17141
842,a,27060
843,a,11275
844,a,4576
845,f,20030
846,a,26927
847,a,23319
848,a,8462
849,a,13496
850,a,22902
851,a,28154
852,f,13809
853,f,19726
854,a,16125
855,a,13743
856,f,15168
857,f,32674
858,a,13735
859,f,20806
860,a,3573
861,f,6602
862,a,6913
863,a,27583
864,f,22802
865,a,28780
866,a,29391
867,a,22550
868,f,14838
869,f,19861
870,a,2373
871,a,5737
872,a,23503
873,a,24692
874,a,13749
875,f,1153
876,f,20425
877,a,18358
878,a,15784
879,a,23041
880,a,1637
881,a,20888
882,a,19595
883,f,13899
884,f,27560
885,a,13184
886,a,2739
887,a,13888
888,f,5400
889,f,28760
890,a,24460
891,a,7316
892,f,32497
893,f,4064
894,a,8048
895,a,15011
896,a,15779
897,a,21545
898,a,5146
899,a,11165
900,a,4902
901,a,18889
902,a,24901
903,a,8475
904,f,19639
905,a,25802
906,a,19716
907,a,4487
908,a,22426
909,a,9499
910,a,6861
911,a,28163
912,a,234
913,f,28491
914,f,23710
915,a,31553
916,a,9144
917,f,2328
918,a,18593
919,a,14570
920,a,32185
921,f,22777
