time,op,size
0,a,512
1,a,128
2,r,640
3,a,128
4,f,128
5,r,768
6,a,128
7,f,128
8,r,896
9,a,128
10,f,128
11,r,1024
12,a,128
13,f,128
14,r,1152
15,a,128
16,f,128
17,r,1280
18,a,128
19,f,128
20,r,1408
21,a,128
22,f,128
23,r,1536
24,a,128
25,f,128
26,r,1664
27,a,128
28,f,128
29,r,1792
30,a,128
31,f,128
32,r,1920
33,a,128
34,f,128
35,r,2048
36,a,128
37,f,128
38,r,2176
39,a,128
40,f,128
41,r,2304
42,a,128
43,f,128
44,r,2432
45,a,128
46,f,128
47,r,2560
48,a,128
49,f,128
50,r,2688
51,a,128
52,f,128
53,r,2816
54,a,128
55,f,128
56,r,2944
57,a,128
58,f,128
59,r,3072
60,a,128
61,f,128
62,r,3200
63,a,128
64,f,128
65,r,3328
66,a,128
67,f,128
68,r,3456
69,a,128
70,f,128
71,r,3584
72,a,128
73,f,128
74,r,3712
75,a,128
76,f,128
77,r,3840
78,a,128
79,f,128
80,r,3968
81,a,128
82,f,128
83,r,4096
84,a,128
85,f,128
86,r,4224
87,a,128
88,f,128
89,r,4352
90,a,128
91,f,128
92,r,4480
93,a,128
94,f,128
95,r,4608
96,a,128
97,f,128
98,r,4736
99,a,128
100,f,128
101,r,4864
102,a,128
103,f,128
104,r,4992
105,a,128
106,f,128
107,r,5120
108,a,128
109,f,128
110,r,5248
111,a,128
112,f,128
113,r,5376
114,a,128
115,f,128
116,r,5504
117,a,128
118,f,128
119,r,5632
120,a,128
121,f,128
122,r,5760
123,a,128
124,f,128
125,r,5888
126,a,128
127,f,128
128,r,6016
129,a,128
130,f,128
131,r,6144
132,a,128
133,f,128
134,r,6272
135,a,128
136,f,128
137,r,6400
138,a,128
139,f,128
140,r,6528
141,a,128
142,f,128
143,r,6656
144,a,128
145,f,128
146,r,6784
147,a,128
148,f,128
149,r,6912
150,a,128
151,f,128
152,r,7040
153,a,128
154,f,128
155,r,7168
156,a,128
157,f,128
158,r,7296
159,a,128
160,f,128
161,r,7424
162,a,128
163,f,128
164,r,7552
165,a,128
166,f,128
167,r,7680
168,a,128
169,f,128
170,r,7808
171,a,128
172,f,128
173,r,7936
174,a,128
175,f,128
176,r,8064
177,a,128
178,f,128
179,r,8192
180,a,128
181,f,128
182,r,8320
183,a,128
184,f,128
185,r,8448
186,a,128
187,f,128
188,r,8576
189,a,128
190,f,128
191,r,8704
192,a,128
193,f,128
194,r,8832
195,a,128
196,f,128
197,r,8960
198,a,128
199,f,128
200,r,9088
201,a,128
202,f,128
203,r,9216
204,a,128
205,f,128
206,r,9344
207,a,128
208,f,128
209,r,9472
210,a,128
211,f,128
212,r,9600
213,a,128
214,f,128
215,r,9728
216,a,128
217,f,128
218,r,9856
219,a,128
220,f,128
221,r,9984
222,a,128
223,f,128
224,r,10112
225,a,128
226,f,128
227,r,10240
228,a,128
229,f,128
230,r,10368
231,a,128
232,f,128
233,r,10496
234,a,128
235,f,128
236,r,10624
237,a,128
238,f,128
239,r,10752
240,a,128
241,f,128
242,r,10880
243,a,128
244,f,128
245,r,11008
246,a,128
247,f,128
248,r,11136
249,a,128
250,f,128
251,r,11264
252,a,128
253,f,128
254,r,11392
255,a,128
256,f,128
257,r,11520
258,a,128
259,f,128
260,r,11648
261,a,128
262,f,128
263,r,11776
264,a,128
265,f,128
266,r,11904
267,a,128
268,f,128
269,r,12032
270,a,128
271,f,128
272,r,12160
273,a,128
274,f,128
275,r,12288
276,a,128
277,f,128
278,r,12416
279,a,128
