time,op,size
0,a,4092
1,a,16
2,r,4097
3,a,16
4,f,16
5,r,4102
6,a,16
7,f,16
8,r,4107
9,a,16
10,f,16
11,r,4112
12,a,16
13,f,16
14,r,4117
15,a,16
16,f,16
17,r,4122
18,a,16
19,f,16
20,r,4127
21,a,16
22,f,16
23,r,4132
24,a,16
25,f,16
26,r,4137
27,a,16
28,f,16
29,r,4142
30,a,16
31,f,16
32,r,4147
33,a,16
34,f,16
35,r,4152
36,a,16
37,f,16
38,r,4157
39,a,16
40,f,16
41,r,4162
42,a,16
43,f,16
44,r,4167
45,a,16
46,f,16
47,r,4172
48,a,16
49,f,16
50,r,4177
51,a,16
52,f,16
53,r,4182
54,a,16
55,f,16
56,r,4187
57,a,16
58,f,16
59,r,4192
60,a,16
61,f,16
62,r,4197
63,a,16
64,f,16
65,r,4202
66,a,16
67,f,16
68,r,4207
69,a,16
70,f,16
71,r,4212
72,a,16
73,f,16
74,r,4217
75,a,16
76,f,16
77,r,4222
78,a,16
79,f,16
80,r,4227
81,a,16
82,f,16
83,r,4232
84,a,16
85,f,16
86,r,4237
87,a,16
88,f,16
89,r,4242
90,a,16
91,f,16
92,r,4247
93,a,16
94,f,16
95,r,4252
96,a,16
97,f,16
98,r,4257
99,a,16
100,f,16
101,r,4262
102,a,16
103,f,16
104,r,4267
105,a,16
106,f,16
107,r,4272
108,a,16
109,f,16
110,r,4277
111,a,16
112,f,16
113,r,4282
114,a,16
115,f,16
116,r,4287
117,a,16
118,f,16
119,r,4292
120,a,16
121,f,16
122,r,4297
123,a,16
124,f,16
125,r,4302
126,a,16
127,f,16
128,r,4307
129,a,16
130,f,16
131,r,4312
132,a,16
133,f,16
134,r,4317
135,a,16
136,f,16
137,r,4322
138,a,16
139,f,16
140,r,4327
141,a,16
142,f,16
143,r,4332
144,a,16
145,f,16
146,r,4337
147,a,16
148,f,16
149,r,4342
150,a,16
151,f,16
152,r,4347
153,a,16
154,f,16
155,r,4352
156,a,16
157,f,16
158,r,4357
159,a,16
160,f,16
161,r,4362
162,a,16
163,f,16
164,r,4367
165,a,16
166,f,16
167,r,4372
168,a,16
169,f,16
170,r,4377
171,a,16
172,f,16
173,r,4382
174,a,16
175,f,16
176,r,4387
177,a,16
178,f,16
179,r,4392
180,a,16
181,f,16
182,r,4397
183,a,16
184,f,16
185,r,4402
186,a,16
187,f,16
188,r,4407
189,a,16
190,f,16
191,r,4412
192,a,16
193,f,16
194,r,4417
195,a,16
196,f,16
197,r,4422
198,a,16
199,f,16
200,r,4427
201,a,16
202,f,16
203,r,4432
204,a,16
205,f,16
206,r,4437
207,a,16
208,f,16
209,r,4442
210,a,16
211,f,16
212,r,4447
213,a,16
214,f,16
