size,count
24,1
41,1
43,1
46,1
65,1
77,1
79,1
87,1
149,1
153,1
162,1
168,1
171,1
213,1
221,1
260,1
262,1
287,1
290,1
313,1
320,1
329,1
330,1
333,1
336,1
338,1
345,1
351,1
355,1
366,1
369,1
395,1
417,1
429,1
432,1
433,1
452,1
480,1
565,1
586,1
587,1
589,1
608,1
639,1
642,1
685,1
715,1
727,1
730,1
753,1
758,1
799,1
852,1
875,1
882,2
914,1
918,1
923,1
928,1
952,1
974,1
976,1
988,1
990,1
995,1
1016,1
1018,1
1024,1
1032,1
1035,2
1042,1
1043,1
1052,1
1057,1
1063,1
1080,1
1090,1
1092,1
1107,1
1115,1
1117,1
1122,1
1148,1
1151,1
1180,1
1181,1
1197,1
1206,1
1209,1
1211,1
1237,1
1238,1
1239,1
1260,1
1267,1
1367,1
1369,1
1378,1
1388,1
1390,1
1405,1
1408,1
1427,1
1442,1
1443,1
1456,2
1481,1
1498,1
1523,1
1544,1
1592,1
1615,1
1616,1
1617,1
1642,1
1654,1
1683,1
1687,1
1713,1
1714,1
1763,1
1764,1
1767,2
1813,1
1817,1
1820,1
1833,1
1849,2
1856,1
1866,1
1913,1
1923,1
1926,1
1942,1
1986,1
2005,1
2007,1
2035,1
2054,1
2063,1
2069,1
2070,1
2071,1
2073,2
2082,1
2097,1
2108,1
2134,1
2135,1
2144,1
2174,1
2193,2
2206,1
2207,1
2210,1
2215,1
2224,1
2229,1
2231,1
2290,1
2306,1
2313,2
2320,1
2332,1
2337,1
2388,1
2428,1
2429,1
2430,1
2487,1
2520,1
2533,1
2553,1
2580,1
2608,1
2631,1
2636,1
2662,1
2681,1
2715,1
2717,1
2719,1
2736,1
2749,1
2753,1
2757,1
2767,1
2784,1
2788,1
2797,1
2828,1
2870,1
2903,1
2918,1
2924,1
2958,1
2966,1
2969,1
2974,1
3026,1
3053,1
3063,1
3077,1
3091,1
3106,1
3117,1
3154,1
3163,1
3165,1
3171,1
3175,1
3225,1
3226,1
3231,1
3232,1
3234,1
3235,1
3257,1
3284,1
3304,1
3313,1
3333,1
3353,1
3355,1
3362,1
3368,1
3374,1
3388,1
3390,1
3394,1
3419,1
3434,1
3439,1
3442,2
3463,1
3470,1
3481,1
3490,1
3492,1
3494,1
3501,1
3525,3
3528,1
3530,1
3541,1
3555,1
3567,1
3583,1
3585,1
3589,1
3615,1
3625,1
3630,1
3658,1
3664,1
3687,1
3695,1
3712,1
