size,count
39,1
57,1
58,1
66,1
75,1
78,1
81,1
92,1
117,1
134,1
135,1
152,1
162,1
173,1
186,1
195,1
213,1
234,1
245,1
262,1
276,1
279,1
287,1
293,1
295,1
323,1
324,1
332,1
338,1
342,1
354,1
361,1
366,1
383,1
403,1
413,1
419,1
450,1
451,1
461,2
474,1
486,1
498,1
541,1
551,1
559,1
588,1
590,1
597,1
608,1
646,1
647,1
665,1
678,1
690,1
715,1
720,2
722,1
769,1
809,1
841,1
853,1
864,1
875,1
903,2
906,1
913,1
930,1
937,1
939,1
941,1
944,1
952,1
958,1
964,1
966,1
990,1
1026,1
1029,2
1041,1
1048,1
1063,1
1082,1
1093,1
1094,1
1097,1
1110,1
1122,1
1136,1
1153,1
1155,1
1187,1
1191,1
1200,1
1212,1
1223,1
1233,1
1245,1
1246,1
1280,1
1305,1
1311,1
1340,1
1346,1
1367,1
1374,1
1376,1
1393,1
1422,1
1461,1
1465,1
1466,1
1468,1
1469,2
1471,1
1490,1
1503,1
1513,1
1527,1
1534,1
1542,1
1543,1
1550,1
1573,1
1590,1
1596,1
1597,1
1630,1
1637,1
1643,1
1657,1
1683,1
1701,1
1713,1
1718,1
1719,1
1781,1
1783,1
1796,1
1797,1
1801,1
1822,1
1834,1
1836,1
1839,1
1857,1
1858,1
1862,1
1873,1
1874,1
1875,1
1881,1
1897,1
1900,1
1908,1
1929,1
1932,1
1939,1
1947,1
1953,1
1960,1
1969,1
1992,1
2034,1
2041,1
2042,1
2057,1
2059,1
2069,1
2078,1
2110,1
2118,1
2125,1
2127,1
2128,1
2132,1
2133,1
2135,1
2147,1
2158,1
2180,1
2183,2
2185,2
2189,1
2195,1
2199,1
2220,1
2223,1
2224,1
2268,1
2274,1
2277,1
2305,1
2312,1
2328,1
2373,1
2382,1
2392,1
2405,1
2420,1
2444,1
2449,1
2452,1
2493,2
2526,1
2527,1
2540,1
2542,1
2546,1
2576,1
2591,1
2592,1
2596,1
2623,1
2626,1
2628,1
2651,1
2660,1
2662,1
2690,1
2694,1
2718,1
2739,1
2749,2
2751,1
2753,1
2812,1
2817,1
2834,1
2836,1
2842,1
2855,1
2866,1
2872,1
2882,1
2890,1
2913,1
2925,1
2941,1
2964,1
2995,1
3010,1
3019,1
3039,1
3044,1
3052,1
3061,1
3063,1
3066,1
3068,1
3080,1
3157,1
3159,1
3179,1
3183,1
3186,1
3199,1
3229,1
3230,1
3249,1
3251,1
3263,1
3274,1
3289,1
3316,1
3339,1
3341,1
3342,1
3349,1
3373,1
3377,1
3397,1
3404,1
3412,1
3439,2
3457,1
3464,1
3474,1
3479,1
3484,1
3500,1
3509,1
3526,1
3547,1
3553,1
3560,1
3562,1
3573,1
3575,1
3605,1
3609,1
3617,1
3663,1
3709,1
3712,2
3719,1
3721,1
3734,2
3745,1
3755,1
3757,1
3758,1
3793,1
3795,1
3796,1
3817,1
3834,1
3836,1
3852,1
3865,1
3867,1
3871,1
3886,1
3905,1
3920,1
3944,1
3961,1
3963,1
3970,1
3981,1
3988,1
3998,1
4006,1
4017,1
4044,1
4064,1
4101,2
4115,1
4136,1
4145,1
4146,1
4180,1
4199,1
4223,1
4229,1
4253,1
4271,1
4274,1
4282,1
4297,1
4301,1
4304,1
4344,1
4350,1
4371,1
4373,1
4382,1
4389,1
4396,1
4400,1
4413,1
4416,1
4423,1
4445,1
4464,1
4466,1
4486,1
4487,1
4492,1
4502,1
4512,1
4562,1
4563,1
4576,1
4632,1
4656,1
4658,1
4686,1
4696,1
4725,1
4734,2
4763,1
4767,1
4775,1
4778,1
4838,1
4848,1
4853,1
4867,1
4888,1
4899,1
4902,2
4906,1
4910,1
4919,1
4920,1
4936,1
4942,1
4950,1
4957,1
4960,1
4963,1
4964,1
4989,1
4991,1
5003,1
5025,1
5027,1
5036,1
5058,1
5064,1
5092,1
5099,1
5103,1
5121,1
5123,1
5139,1
5146,1
5154,1
5194,1
5196,1
5225,1
5286,1
5291,1
5372,2
5399,1
5400,1
5416,1
5418,1
5430,1
5458,1
5467,1
5491,1
5494,1
5505,1
5529,1
5535,1
5540,1
5557,1
5568,1
5578,1
5620,1
5648,1
5656,1
5659,1
5691,1
5696,1
5721,1
5730,1
5735,1
5737,1
5779,1
5807,1
5815,2
5819,1
5864,1
5885,1
5888,1
5894,1
5900,1
5905,1
5920,1
5921,1
5934,1
5943,1
5944,1
5952,1
5953,1
5968,1
5984,1
5990,1
6018,1
6023,1
6103,1
6105,2
6114,1
6118,1
6145,1
6173,2
6176,1
6184,1
6212,1
6223,1
6251,1
6255,1
6284,1
6292,1
6302,1
6361,1
6363,1
6384,1
6393,1
6401,1
6417,1
6421,1
6442,1
6448,1
6451,1
6456,1
6460,1
6464,1
6469,1
6473,1
6503,1
6504,1
6526,1
6582,1
6590,1
6596,1
6602,1
6611,1
6616,1
6622,1
6627,1
6642,1
6653,1
6654,1
6666,1
6678,1
6698,1
6722,2
6738,1
6795,1
6813,1
6836,1
6846,1
6848,1
6861,1
6867,1
6880,1
6893,1
6894,1
6905,1
6913,1
6918,1
6923,1
6937,1
6948,1
6964,1
6981,1
6983,1
6997,1
7009,1
7023,1
7028,1
7035,1
7047,1
7049,1
7055,1
7076,1
7101,1
7124,1
7150,1
7178,1
7184,1
7195,1
7203,1
7229,1
7245,1
7250,1
7255,1
7275,1
7304,1
7314,1
7316,1
7322,1
7323,1
7342,1
7348,1
7350,1
7351,1
7397,1
7405,1
7414,1
7424,1
7442,1
7443,1
7461,1
7465,2
7480,1
7506,1
7521,1
7533,1
7553,1
7560,1
7600,1
7617,1
7632,1
7640,1
7654,1
7657,1
7709,1
7744,1
7767,1
7854,1
7868,1
7885,1
7896,1
7916,1
7921,1
7937,1
7956,1
7963,1
7965,1
7987,1
7992,1
8011,1
8016,1
8022,1
8044,1
8045,1
8048,1
8057,1
8071,1
8085,1
8091,2
8125,1
8135,1
8180,1
8182,1
8184,1
8186,1
8262,1
8283,1
8305,1
8312,1
8331,1
8334,1
8341,1
8349,1
8377,1
8406,1
8407,1
8413,1
8438,1
8439,1
8462,1
8471,1
8475,1
8490,1
8499,1
8504,1
8510,1
8515,1
8531,1
8532,1
8535,1
8556,1
8559,1
8570,1
8585,1
8612,1
8633,1
8660,1
8682,1
8698,1
8705,1
8742,1
8763,1
8772,1
8785,1
8786,1
8799,1
8800,2
8801,1
8831,1
8836,2
8931,1
8935,1
8949,1
8957,1
8968,1
9011,1
9029,1
9075,1
9091,1
9098,1
9101,1
9103,1
9104,1
9113,1
9137,1
9144,1
9146,1
9177,1
9196,1
9215,1
9232,1
9239,1
9246,1
9249,1
9257,1
9292,1
9361,1
9363,1
9366,1
9397,1
9406,1
9440,1
9444,1
9449,1
9475,1
9482,1
9490,1
9499,1
9504,1
9505,1
9515,1
9546,1
9560,1
9577,1
9610,1
9635,1
9643,1
9646,1
9710,1
9737,1
9755,1
9797,1
9804,1
9812,1
9815,1
9817,1
9828,1
9855,1
9923,1
9925,1
9984,1
9995,1
