size,count
128,4800
512,1
640,1
768,1
896,1
1024,1
1152,1
1280,1
1408,1
1536,1
1664,1
1792,1
1920,1
2048,1
2176,1
2304,1
2432,1
2560,1
2688,1
2816,1
2944,1
3072,1
3200,1
3328,1
3456,1
3584,1
3712,1
3840,1
3968,1
4096,1
4224,1
4352,1
4480,1
4608,1
4736,1
4864,1
4992,1
5120,1
5248,1
5376,1
5504,1
5632,1
5760,1
5888,1
6016,1
6144,1
6272,1
6400,1
6528,1
6656,1
6784,1
6912,1
7040,1
7168,1
7296,1
7424,1
7552,1
7680,1
7808,1
7936,1
8064,1
8192,1
8320,1
8448,1
8576,1
8704,1
8832,1
8960,1
9088,1
9216,1
9344,1
9472,1
9600,1
9728,1
9856,1
9984,1
10112,1
10240,1
10368,1
10496,1
10624,1
10752,1
10880,1
11008,1
11136,1
11264,1
11392,1
11520,1
11648,1
11776,1
11904,1
12032,1
12160,1
12288,1
12416,1
12544,1
12672,1
12800,1
12928,1
13056,1
13184,1
13312,1
13440,1
13568,1
13696,1
13824,1
13952,1
14080,1
14208,1
14336,1
14464,1
14592,1
14720,1
14848,1
14976,1
15104,1
15232,1
15360,1
15488,1
15616,1
15744,1
15872,1
16000,1
16128,1
16256,1
16384,1
16512,1
16640,1
16768,1
16896,1
17024,1
17152,1
17280,1
17408,1
17536,1
17664,1
17792,1
17920,1
18048,1
18176,1
18304,1
18432,1
18560,1
18688,1
18816,1
18944,1
19072,1
19200,1
19328,1
19456,1
19584,1
19712,1
19840,1
19968,1
20096,1
20224,1
20352,1
20480,1
20608,1
20736,1
20864,1
20992,1
21120,1
21248,1
21376,1
21504,1
21632,1
21760,1
21888,1
22016,1
22144,1
22272,1
22400,1
22528,1
22656,1
22784,1
22912,1
23040,1
23168,1
23296,1
23424,1
23552,1
23680,1
23808,1
23936,1
24064,1
24192,1
24320,1
24448,1
24576,1
24704,1
24832,1
24960,1
25088,1
25216,1
25344,1
25472,1
25600,1
25728,1
25856,1
25984,1
26112,1
26240,1
26368,1
26496,1
26624,1
26752,1
26880,1
27008,1
27136,1
27264,1
27392,1
27520,1
27648,1
27776,1
27904,1
28032,1
28160,1
28288,1
28416,1
28544,1
28672,1
28800,1
28928,1
29056,1
29184,1
29312,1
29440,1
29568,1
29696,1
29824,1
29952,1
30080,1
30208,1
30336,1
30464,1
30592,1
30720,1
30848,1
30976,1
31104,1
31232,1
31360,1
31488,1
31616,1
31744,1
31872,1
32000,1
32128,1
32256,1
32384,1
32512,1
32640,1
32768,1
32896,1
33024,1
33152,1
33280,1
33408,1
33536,1
33664,1
33792,1
33920,1
34048,1
34176,1
34304,1
34432,1
34560,1
34688,1
34816,1
34944,1
35072,1
35200,1
35328,1
35456,1
35584,1
35712,1
35840,1
35968,1
36096,1
36224,1
36352,1
36480,1
36608,1
36736,1
36864,1
36992,1
37120,1
37248,1
37376,1
37504,1
37632,1
