size,count
7,2
9,285
10,149
11,32
12,30
13,16
14,17
15,5
24,63
40,36
42,4
48,8
72,1068
80,4
120,57
160,1027
258,3
456,160
504,4
1008,8
2040,8
4072,8697
4430,3
5476,40
5672,5
8208,8
8760,4
10852,18
21604,4
64,2000
448,2000
512,2001
4095,4800
8190,2400
4548,4
5316,3
10532,5
128,8800
640,1
768,1
896,1
1024,2
1152,1
1280,2
1408,2
1536,1
1664,1
1792,1
1920,1
2048,1
2176,1
2304,1
2432,1
2560,1
2688,1
2816,1
2944,1
3072,1
3200,1
3328,1
3456,1
3584,1
3712,4
3840,1
3968,1
4096,1
4224,1
4352,2
4480,1
4608,1
4736,1
4864,1
4992,2
5120,1
5248,1
5376,1
5504,1
5632,2
5760,1
5888,2
6016,1
6144,1
6272,2
6400,1
6528,1
6656,1
6784,1
6912,2
7040,1
7168,2
7296,1
7424,3
7552,2
7680,1
7808,1
7936,1
8064,1
8192,3
8320,1
8448,1
8576,1
8704,1
8832,2
8960,1
9088,1
9216,1
9344,1
9472,2
9600,1
9728,1
9856,1
9984,2
10112,2
10240,2
10368,1
10496,1
10624,1
10752,2
10880,1
11008,1
11136,2
11264,1
11392,2
11520,1
11648,1
11776,2
11904,1
12032,3
12160,1
12288,1
12416,1
12544,1
12672,2
12800,1
12928,1
13056,1
13184,2
13312,2
13440,1
13568,1
13696,1
13824,1
13952,2
14080,2
14208,1
14336,1
14464,1
14592,2
14720,1
14848,1
14976,1
15104,1
15232,2
15360,1
15488,1
15616,1
15744,1
15872,2
16000,1
16128,1
16256,2
16384,1
16512,2
16640,1
16768,2
16896,1
17024,1
17152,2
17280,1
17408,1
17536,1
17664,1
17792,3
17920,1
18048,1
18176,1
18304,2
18432,2
18560,1
18688,1
18816,1
18944,2
19072,2
19200,1
19328,1
19456,1
19584,1
19712,3
19840,1
19968,1
20096,1
20224,2
20352,3
20480,1
20608,1
20736,1
20864,1
20992,2
21120,1
21248,1
21376,1
21504,1
21632,3
21760,2
21888,1
22016,1
22144,1
22272,2
22400,1
22528,1
22656,2
22784,1
22912,2
23040,1
23168,1
23296,1
23424,1
23552,2
23680,2
23808,1
23936,1
24064,1
24192,2
24320,1
24448,1
24576,1
24704,1
24832,2
24960,1
25088,1
25216,1
25344,1
25472,2
25600,1
25728,1
25856,1
25984,1
26112,2
26240,1
26368,2
26496,1
26624,1
26752,2
26880,1
27008,1
27136,1
27264,1
27392,2
27520,1
27648,1
27776,1
27904,1
28032,2
28160,1
28288,1
28416,1
28544,1
28672,1
28800,1
28928,1
29056,1
29184,2
29312,1
29440,1
29568,1
29696,1
29824,1
29952,1
30080,1
30208,1
30336,1
30464,1
30592,1
30720,2
30848,1
30976,1
31104,1
31232,1
31360,2
31488,1
31616,1
31744,1
31872,2
32000,1
32128,1
32256,1
32384,1
32512,1
32640,1
32768,1
32896,1
33024,1
33152,1
33280,1
33408,1
33536,1
33664,1
33792,1
33920,1
34048,1
34176,1
34304,1
34432,1
34560,1
34688,1
34816,1
34944,1
35072,1
35200,1
35328,1
35456,1
35584,1
35712,1
35840,1
35968,1
36096,1
36224,1
36352,1
36480,1
36608,1
36736,1
36864,1
36992,1
37120,1
37248,1
37376,1
37504,1
37632,1
37760,1
37888,1
38016,1
38144,1
38272,1
38400,1
38528,1
38656,1
38784,1
38912,1
39040,1
39168,1
39296,1
39424,1
39552,1
39680,1
39808,1
39936,1
40064,1
40192,1
40320,1
40448,1
40576,1
40704,1
40832,1
40960,1
41088,1
41216,1
41344,1
41472,1
41600,1
41728,1
41856,1
41984,1
42112,1
42240,1
42368,1
42496,1
42624,1
42752,1
42880,1
43008,1
43136,1
43264,1
43392,1
43520,1
43648,1
43776,1
43904,1
44032,1
44160,1
44288,1
44416,1
44544,1
44672,1
44800,1
44928,1
45056,1
45184,1
45312,1
45440,1
45568,1
45696,1
45824,1
45952,1
46080,1
46208,1
46336,1
46464,1
46592,1
46720,1
46848,1
46976,1
47104,1
47232,1
47360,1
47488,1
47616,1
47744,1
47872,1
48000,1
48128,1
48256,1
48384,1
48512,1
48640,1
48768,1
48896,1
49024,1
49152,1
49280,1
49408,1
49536,1
49664,1
49792,1
49920,1
50048,1
50176,1
50304,1
50432,1
50560,1
50688,1
50816,1
50944,1
51072,1
51200,1
51328,1
51456,1
51584,1
51712,1
51840,1
51968,1
52096,1
52224,1
52352,1
52480,1
52608,1
52736,1
52864,1
52992,1
53120,1
53248,1
53376,1
53504,1
53632,1
53760,1
53888,1
54016,1
54144,1
54272,1
54400,1
54528,1
54656,1
54784,1
54912,1
55040,1
55168,1
55296,1
55424,1
55552,1
55680,1
55808,1
55936,1
56064,1
56192,1
56320,1
56448,1
56576,1
56704,1
56832,1
56960,1
57088,1
57216,1
57344,1
57472,1
57600,1
57728,1
57856,1
57984,1
58112,1
58240,1
58368,1
58496,1
58624,1
58752,1
58880,1
59008,1
59136,1
59264,1
59392,1
59520,1
59648,1
59776,1
59904,1
60032,1
60160,1
60288,1
60416,1
60544,1
60672,1
60800,1
60928,1
61056,1
61184,1
